,N_nodes,single_total,single_avg,openmp_total,openmp_avg
0,10.0,0.0,0.0,78.0,1.56
1,40.0,31.0,0.62,296.0,5.92
2,160.0,1321.0,26.42,1765.0,35.3
3,360.0,14513.0,290.26,10013.0,200.26
4,640.0,82027.0,1640.54,47815.0,956.3
5,969.0,308560.0,6171.2,194839.0,3896.78
